"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Threshold"
"Prpf8",0.0453571298271367,9.33825405599362,0.376422780498294,0.713700442572513,0.828115158236218,-6.58892758856826,"Non-Significant"
"Srebf2",0.0397541108054522,8.98442493251238,0.37651783893939,0.713631763759247,0.828115158236218,-6.58893446636881,"Non-Significant"
"Rack1",-0.0525289354863929,8.72402890490069,-0.36493052811131,0.722022813424396,0.833438402737299,-6.58916253165116,"Non-Significant"
"Jak1",0.0377884310966845,8.50023744193547,0.326459559772111,0.750150914785493,0.853037855539512,-6.58928714038759,"Non-Significant"
"Gprasp1",-0.0330689927660295,10.5306959196393,-0.33420245698854,0.744457564564002,0.848764335671837,-6.589471397043,"Non-Significant"
"Camk1",-0.00558595123615557,7.58735025678122,-0.0437183379534634,0.965905673052895,0.983194878925953,-6.59128780331569,"Non-Significant"
"Id4",0.0187920583209236,7.72588016892066,0.10085379385019,0.921465635822869,0.961310858096472,-6.59247835166135,"Non-Significant"
"Cyfip1",-0.0026318236433891,7.59457911272969,-0.023381036625758,0.981761467569049,0.991041549294128,-6.59262646908765,"Non-Significant"
"Fgf12",-0.000142207816133499,7.70272674086981,-0.00141638721922605,0.998895028436974,0.99993575197734,-6.59265198516894,"Non-Significant"
"Map1lc3a",-0.0144531140615332,7.84295317657074,-0.126997159167003,0.901214612476881,0.952204953400768,-6.59319609092339,"Non-Significant"
"Cdk14",-0.0347712376063019,8.50982540825634,-0.314194984536442,0.759200769129352,0.858903692716952,-6.59369577571698,"Non-Significant"
"Zfand2a",-0.000878688660566951,7.66383688497549,-0.00946705971046749,0.99261454417324,0.997082426592624,-6.59406690712871,"Non-Significant"
"Ndel1",0.00874246827189928,7.67868511353144,0.0776568870400661,0.939483517093993,0.970467990405497,-6.59472492462655,"Non-Significant"
"Ppp1r2",0.0101385924358635,7.79738532785951,0.107165321703522,0.916570739970757,0.958444530121705,-6.5952857048224,"Non-Significant"
"Junb",-5.76673907559666e-06,7.66770880946845,-3.86233478911481e-05,0.999969868609337,0.999969868609337,-6.59620520121574,"Non-Significant"
"Zfr",0.0419658089279054,9.68822338085216,0.355651250160541,0.728770151930446,0.837616509386152,-6.59633703500798,"Non-Significant"
"Arfgef2",0.00762455104911375,7.70810381116109,0.0700794467931828,0.945377370595548,0.973062537192654,-6.59650375251195,"Non-Significant"
"Stk25",-0.0378139102087669,9.47617960124266,-0.355187053380465,0.729108324042978,0.837645685022349,-6.59826044579012,"Non-Significant"
"Cdk13",0.0160128394274111,7.89261723738981,0.169043458729063,0.868804399354936,0.931035686863753,-6.59834873444809,"Non-Significant"
