"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Threshold"
"Hist1h2ag",-0.329552420389024,6.87149062424804,-2.23347652161956,0.047036462126906,0.190019272914651,-4.08034760035224,"Non-Significant"
"Gtf3c4",-0.206722748861139,8.1531821043504,-2.28234473763218,0.0431615236112852,0.182623956980433,-4.08625609868142,"Non-Significant"
"Actr1a",0.194869502806643,8.41302654045485,2.28650474055059,0.042846197807055,0.182623956980433,-4.0875746761225,"Non-Significant"
"Hist1h2ao",-0.327680346073222,6.88260606588356,-2.22911101464831,0.0473983847300175,0.190019272914651,-4.08828474783714,"Non-Significant"
"Rac1",0.444118800888379,7.3541956646064,2.23869464385073,0.0466073211401959,0.189399705634969,-4.08846714736747,"Non-Significant"
"Sytl2",-0.271278266056574,7.49849003840754,-2.26716993961096,0.044330766114526,0.184631091220374,-4.089594076104,"Non-Significant"
"Arhgef9",0.162061172821941,9.48900304856962,2.30577630627981,0.0414140966957631,0.17946108568164,-4.08969324018542,"Non-Significant"
"Surf4",0.230927852893492,6.92623127638202,2.21420124696011,0.0486546553272984,0.194183557327131,-4.09067318686859,"Non-Significant"
"Hist1h2ap",-0.32795494699694,6.88181212577625,-2.22676317502034,0.0475941320554559,0.190518812622587,-4.09185807325833,"Non-Significant"
"Mast4",-0.233606472259937,7.29724445506528,-2.24655949961476,0.0459675841171644,0.188259972151526,-4.09994653349184,"Non-Significant"
"Ric8b",-0.225969408489721,7.32378430768891,-2.24646324061128,0.0459753628779307,0.188259972151526,-4.10121892495185,"Non-Significant"
"Rps6",-0.284936052714535,8.89726959744845,-2.29213957205548,0.0424226098515607,0.181772398691967,-4.10888296039189,"Non-Significant"
"Ypel3",0.255014220995064,7.39690736391301,2.23761394875844,0.0466958893190766,0.189472108479526,-4.10898073705157,"Non-Significant"
"Ogfrl1",0.191267180778906,8.10051214874499,2.26250398438528,0.0446963548578081,0.18528922338887,-4.1130364050904,"Non-Significant"
"Fbxo25",0.214072025345052,7.41342351252399,2.230670343392,0.0472688038385457,0.190019272914651,-4.11687632840963,"Non-Significant"
"Tmsb4x",-0.419744580194521,8.70238376581993,-2.28265434443195,0.0431379790011784,0.182623956980433,-4.12116115470594,"Non-Significant"
"Capns1",0.281409861511006,7.10484979742912,2.20815540741151,0.0491730748704296,0.195379071962923,-4.12273572529222,"Non-Significant"
"Syt1",0.244441945515732,10.7266177069295,2.27636275392544,0.043618865160024,0.183044535402789,-4.12360462390537,"Non-Significant"
"Gprin1",0.235746106594865,8.84492231308465,2.27558478452982,0.0436786842655735,0.183044535402789,-4.12591734837869,"Non-Significant"
"Ndst1",-0.207960300553655,8.61032458056765,-2.27384006756352,0.0438131244186662,0.183044535402789,-4.12883004277287,"Non-Significant"
"Efnb3",0.243837215899883,6.9259904681208,2.19397816484499,0.0504094924003562,0.19584015989639,-4.12912188217173,"Non-Significant"
"Klf6",0.211881031748121,6.80809821847754,2.19163592107737,0.0506165940879083,0.19584015989639,-4.13208892604361,"Non-Significant"
"Arhgap12",-0.253806469283584,7.00341235508845,-2.20345270080576,0.0495799634174411,0.19584015989639,-4.13942203604221,"Non-Significant"
"Rtn4rl1",0.269406719040923,6.98278523600696,2.1923612445187,0.0505523743450597,0.19584015989639,-4.14117276493055,"Non-Significant"
"Cacul1",-0.187737410576993,7.75067981273543,-2.23616748140379,0.0468146863542974,0.189666762567032,-4.14196059350307,"Non-Significant"
"Nrsn1",0.271202369091624,6.98636763383285,2.19681745996557,0.0501595239123218,0.19584015989639,-4.14250427637407,"Non-Significant"
"Hlf",0.357480816571821,7.07018602033859,2.19521891227869,0.0503001126411885,0.19584015989639,-4.14355440846266,"Non-Significant"
"Dph3",-0.327092584664435,6.91110259220363,-2.19444574092959,0.0503682460152091,0.19584015989639,-4.14765807689583,"Non-Significant"
"Brap",-0.203604732792463,8.13934465240865,-2.24239642624947,0.046305159098134,0.188637977739894,-4.14945614744132,"Non-Significant"
"Ttyh1",0.170592168783154,9.4166947190606,2.26485443601997,0.0445118313518567,0.184810363349259,-4.15585044016413,"Non-Significant"
"Zfp131",-0.244632735771151,6.9696516268509,-2.18963116072978,0.0507944989855751,0.19584015989639,-4.15753296303114,"Non-Significant"
"Camkv",0.243064085517256,10.5808402493162,2.25793356828176,0.0450572600611644,0.186208861795985,-4.1586307201811,"Non-Significant"
"Lrrc7",-0.281802836111002,8.5741656026389,-2.25477744944914,0.0453081135290612,0.186382685147198,-4.15890884516894,"Non-Significant"
"Cul2",-0.193023740167517,6.86113725877835,-2.17662813753313,0.0519629389186813,0.19738546159465,-4.16262040697358,"Non-Significant"
"Ppp2r5d",0.205223332040008,7.27531367844899,2.19010679978133,0.0507522363778031,0.19584015989639,-4.1639231080107,"Non-Significant"
"Trim24",-0.184945685594292,6.78339012645792,-2.16877565776202,0.05268089259232,0.199546577598632,-4.16851386705445,"Non-Significant"
"Clstn1",0.213362172205397,11.117746112094,2.24231198061282,0.0463120311185375,0.188637977739894,-4.16915010550174,"Non-Significant"
"Tln2",-0.269018846929969,9.29392229112115,-2.25601391676045,0.045209678015628,0.186382685147198,-4.17087089389276,"Non-Significant"
"Glce",-0.224205793868959,7.29440712821394,-2.19810342549143,0.050046698007026,0.19584015989639,-4.17543261608174,"Non-Significant"
"Tuba1b",0.283728176639871,11.1932631712766,2.23040297960649,0.0472909977977914,0.190019272914651,-4.18630854867824,"Non-Significant"
"Pdia3",-0.181974334236072,7.85674728664153,-2.21103195652998,0.0489257620572149,0.19468527606125,-4.18698430984444,"Non-Significant"
