"","SAL_WT1","SAL_WT2","SAL_WT3","SAL_KO1","SAL_KO2","SAL_KO3","RO_WT1","RO_WT2","RO_WT3","RO_KO2","RO_RAP_WT1","RO_RAP_WT2","RO_RAP_WT3","RO_RAP_KO1","RO_RAP_KO2","RO_RAP_KO3"
"Atpif1",1426.48834636642,903.424556101741,1311.32606604004,699.384964418324,926.250899369108,996.379490771855,1728.3173106845,1692.74443099953,1535.54956953084,1380.98805750694,845.003491180132,1203.82252732988,1075.88508984963,483.85980475657,355.708879946902,525.822832007185
"Dnajc8",1287.34389061536,686.635634336451,1146.88130349376,1017.81461642077,968.421672023311,793.321133012156,1235.75777447429,1055.44029259815,1047.36907054704,1182.71017519486,852.96944142331,989.956620459922,881.214316992095,621.505554422133,380.744109034074,586.170431292398
"Ptafr",38.1358878725127,65.9433982556015,59.2484806232938,42.5432328586262,58.7378619112117,55.7415099732506,74.1018771289697,76.7592940071385,66.5700680432443,83.4854241314017,54.5361208955995,63.3880909537255,52.6511698831755,37.7942566878324,48.5057563563958,40.3796436393703
"Eya3",616.358403993584,868.80427201755,698.89024082171,536.947166230843,513.579766967262,480.770523519287,695.249964827686,798.902652100612,795.290412889959,587.87652825862,795.982258914425,765.066697771922,853.503174948318,378.409162639902,414.124414483637,401.134042307591
"Xkr8",113.376963945308,92.3207575578421,76.1766179442349,58.658093789924,108.439129682237,68.6815033598981,98.0760138471658,92.9191453770624,67.4576689504876,146.099492229953,92.5275759015228,83.7825202170981,80.362311926952,57.8578744356941,53.72142908289,51.472952331505
"Smpdl3b",80.3945744339457,63.4705208210165,37.4837326392267,28.3621552390841,21.0853863271016,57.732278186581,61.0250752826809,31.3097120292275,78.9964807446499,48.6998307433176,60.663774928813,57.3248822538039,49.8800556787978,26.129362648378,22.9489599965743,24.8490114703817
"Rpa2",274.1661128132,269.543640369771,235.784769827394,243.656697281223,147.597704289712,217.989119359677,237.561900207579,231.287872732036,241.427446770166,146.099492229953,204.663644709329,265.127580423843,262.563070864783,138.112345427141,98.0546472580904,138.444492477841
"Ppp1r8",766.840556139175,713.837286116887,757.534145112113,497.626905558476,430.744320682219,495.701285119264,808.582247495522,661.543915456259,752.685569342282,553.090934870536,724.901472129149,830.108391098353,890.220438156322,387.741077871466,329.630516314432,375.397566141838
"Stx12",2904.51167634435,2388.79960180917,2482.99499918232,2470.73047798658,2007.62999814475,1913.12825301049,2434.46461038409,2320.95865300532,2380.54563322642,2274.97780758069,2332.18512504103,2531.1140318218,2259.15085511888,1366.65898566248,1162.57345073555,1380.00760130156
"Fam76a",1893.39529788665,1679.90807056145,1831.86628865898,1399.4145232739,1150.6596538504,1272.10088831811,1440.62767006615,1614.97514628177,1707.74414553603,1433.16644758906,1558.8751860495,1673.44560117835,1492.24499905737,870.201095343302,766.182323521994,873.265260244844
"Ahdc1",845.17373122866,1032.83847517836,749.070076451643,644.594437251912,721.421432191549,906.794921171988,1022.17001098491,1002.9207756459,932.868553512664,765.283054537849,1237.78611470911,810.816363416784,958.112736163575,471.26171919396,757.315679886953,452.606994639096
"Wasf2",242.214422974067,318.176896583277,304.706471776939,222.38508085191,265.073428112135,261.786020052945,263.715503900157,268.657529024985,335.513142937951,260.89195041063,323.540132953669,266.781182796549,236.237485923195,159.109154698159,210.191610877715,169.505756815818
"Gpr3",56.688481972654,151.669815987884,109.428316253226,74.1283602839698,55.7256638644829,56.7368940799158,69.7429431802068,98.9790896407838,93.198095260542,97.3996614866353,139.710511957266,97.5625399896471,142.712381525449,38.2608524494106,44.3332181752004,53.691614069932
"Cd164l2",101.008567878547,49.4575486917011,69.5262782824366,46.4107994821376,57.2317628878473,56.7368940799158,89.3581459496399,77.7692847177587,60.3568616925415,55.6569494209344,59.4382441221703,80.4753154716863,63.7356267006861,36.8610651646761,22.4273927239249,35.498587814831
"Map3k6",57.7191816448841,74.1863230375517,97.3367895954112,64.4594437251912,117.475723822423,61.7138146132418,71.9224101545882,96.9591082195433,105.624507961948,90.4425428090185,107.846710984556,97.5625399896471,81.0550904780465,32.6617033104725,38.0744109034074,54.5790787653027
"Tmem222",1164.69062961998,1050.14861722045,1076.14587254554,716.144419786874,615.994500556041,591.258159359123,902.299327393925,944.341314429927,852.984471860771,747.890257843806,880.54388457277,997.673431532549,1216.51913572179,544.517253761734,461.587036294734,528.485226093297
"Wdtc1",1425.45764669419,1695.56962764715,1478.79371025078,1074.53892689894,957.87897885976,1046.14869610511,1529.98581601579,1456.40660471439,1571.94120672781,918.339665445418,2001.29180724751,1776.52014907702,1834.47760329801,825.874497993375,830.856665330521,797.830761138328
"Slc9a1",347.345789541535,477.265344874916,410.507330032821,298.447224447635,251.518536901855,370.282887679451,355.253116824178,398.946330694996,301.784308462708,351.334493219649,503.693161530144,385.840553631373,452.384393864652,227.698731650151,305.638421772558,255.146099919098
"Trnp1",2002.64946314303,1895.04840737035,1508.41795056243,1027.48353297955,945.830186672845,1079.99175573173,1405.75619847604,1324.09782162314,1279.92050824478,692.233308422872,1426.51785893209,1475.56451724455,1729.86804208275,836.606200509673,833.986068966418,800.049422876755
"Nudc",1187.36602240904,848.196960062675,956.439758633171,674.2457813655,790.701987266312,484.752059945947,1065.75935047253,970.601072906054,910.678530831582,845.289919330442,781.888654638034,915.544513688157,1025.31225561973,430.20129217508,380.744109034074,456.156853420579
"Gpatch3",275.19681248543,178.047175290124,187.418663196133,186.287792365802,207.841665224288,159.26145706643,172.177890976135,209.06807709839,136.690539715462,118.271017519486,175.250905349904,208.905099751843,215.454129390363,114.782557348232,116.831069073469,118.476536831999
